a	silp a1
dã	z a3
dãi	z a3 j3
dãn	z a3 n3
dãy	z ă3 j3
dè	z ɛ2
dép	z ɛ5 p5
dê	z e1
dên	z e1 n1
dì	z i2
dìm	z i2 m2
dìu	z i2 w2
dí	z i5
dính	z i5 ɲ5
dò	z ɔ2
dòi	z ɔ2 j2
dòng	z ɔ2 ŋ͡m2
dôi	z o1 j1
dông	z o1 ŋ͡m1
dõi	z ɔ3 j3
dù	z u2
dùng	z u2 ŋ͡m2
dúi	z u5 j5
dăm	z ă1 m1
dĩ	z i3
dĩnh	z i3 ɲ3
dũ	z u3
dũa	z uə3
dũng	z u3 ŋ͡m3
dơ	z ɤ1
dơi	z ɤ1 j1
dư	z ɯ1
dưa	z ɯə1
dưng	z ɯ1 ŋ1
dương	z ɯə1 ŋ1
dưới	z ɯə5 j5
dường	z ɯə2 ŋ2
dưỡng	z ɯə3 ŋ3
dược	z ɯə6 k6
dượt	z ɯə6 t6
dạ	z a6
dại	z a6 j6
dạn	z a6 n6
dạng	z a6 ŋ6
dạo	z a6 w6
dạt	z a6 t6
dạy	z ă6 j6
dải	z a4 j4
dấm	z ɤ̆5 m5
dấn	z ɤ̆5 n5
dấp	z ɤ̆5 p5
dấu	z ɤ̆5 w5
dấy	z ɤ̆5 j5
dầm	z ɤ̆2 m2
dần	z ɤ̆2 n2
dầu	z ɤ̆2 w2
dẫm	z ɤ̆3 m3
dẫn	z ɤ̆3 n3
dẫu	z ɤ̆3 w3
dập	z ɤ̆6 p6
dật	z ɤ̆6 t6
dậu	z ɤ̆6 w6
dậy	z ɤ̆6 j6
dắt	z ă5 t5
dằn	z ă2 n2
dằng	z ă2 ŋ2
dẳng	z ă4 ŋ4
dặc	z ă6 k6
dặm	z ă6 m6
dặn	z ă6 n6
dặt	z ă6 t6
dẹp	z ɛ6 p6
dẹt	z ɛ6 t6
dẻ	z ɛ4
dẻo	z eo4
dẽ	z ɛ3
dền	z e2 n2
dễ	z e3
dệt	z e6 t6
dị	z i6
dịch	z i6 tʃ6
dịp	z i6 p6
dịu	z i6 w6
dọa	zw ʷa6
dọc	z ɔ6 k͡p6
dọn	z ɔ6 n6
dỏm	z ɔ4 m4
dỏng	z ɔ4 ŋ͡m4
dốc	z o5 k͡p5
dối	z o5 j5
dốt	z o5 t5
dồi	z o2 j2
dồn	z o2 n2
dỗ	z o3
dỗi	z o3 j3
dội	z o6 j6
dột	z o6 t6
dời	z ɤ2 j2
dở	z ɤ4
dởm	z ɤ4 m4
dỡ	z ɤ3
dụ	z u6
dục	z u6 k͡p6
dụm	z u6 m6
dụng	z u6 ŋ͡m6
dứa	z ɯə5
dứt	z ɯ5 t5
dừa	z ɯə2
dừng	z ɯ2 ŋ2
dửng	z ɯ4 ŋ4
dữ	z ɯ3
dự	z ɯ6
dựa	z ɯə6
dực	z ɯ6 k6
dựng	z ɯ6 ŋ6
e	silp ɛ1
em	silp ɛ1 m1
eo	silp eo1
ga	ɣ a1
gai	ɣ a1 j1
gam	ɣ a1 m1
gan	ɣ a1 n1
gang	ɣ a1 ŋ1
ganh	ɣ ɛ1 ɲ1
gao	ɣ a1 w1
gay	ɣ ă1 j1
gen	ɣ ɛ1 n1
ghe	ɣ ɛ1
ghen	ɣ ɛ1 n1
ghi	ɣ i1
ghim	ɣ i1 m1
ghiền	ɣ iə2 n2
ghé	ɣ ɛ5
ghép	ɣ ɛ5 p5
ghét	ɣ ɛ5 t5
ghê	ɣ e1
ghì	ɣ i2
ghẹ	ɣ ɛ6
ghẹo	ɣ eo6
ghẻ	ɣ ɛ4
ghẽ	ɣ ɛ3
ghế	ɣ e5
ghề	ɣ e2
ghềnh	ɣ e2 ɲ2
gia	j a1
giai	j a1 j1
giam	j a1 m1
gian	j a1 n1
giang	j a1 ŋ1
gianh	j ɛ1 ɲ1
giao	j a1 w1
gieo	j eo1
gio	j ɔ1
gioăng	jw ʷă1 ŋ1
giun	j u1 n1
già	j a2
giàn	j a2 n2
giàng	j a2 ŋ2
giành	j ɛ2 ɲ2
giàu	j ă2 w2
giày	j ă2 j2
giá	j a5
giác	j a5 k5
giám	j a5 m5
gián	j a5 n5
giáng	j a5 ŋ5
giáo	j a5 w5
giáp	j a5 p5
giâm	j ɤ̆1 m1
giây	j ɤ̆1 j1
giã	j a3
giãn	j a3 n3
giê	j e1
giêng	j e1 ŋ1
giò	j ɔ2
giòn	j ɔ2 n2
gió	j ɔ5
gióng	j ɔ5 ŋ͡m5
giông	j o1 ŋ͡m1
giùm	j u2 m2
giúp	j u5 p5
giăng	j ă1 ŋ1
giũ	j u3
giơ	j ɤ1
giương	j ɯə1 ŋ1
giường	j ɯə2 ŋ2
giả	j a4
giải	j a4 j4
giảm	j a4 m4
giản	j a4 n4
giảng	j a4 ŋ4
giấc	j ɤ̆5 k5
giấm	j ɤ̆5 m5
giấu	j ɤ̆5 w5
giấy	j ɤ̆5 j5
giầu	j ɤ̆2 w2
giầy	j ɤ̆2 j2
giẫm	j ɤ̆3 m3
giận	j ɤ̆6 n6
giật	j ɤ̆6 t6
giắt	j ă5 t5
giằng	j ă2 ŋ2
giặc	j ă6 k6
giặt	j ă6 t6
giẻ	j ɛ4
giếm	j e5 m5
giếng	j e5 ŋ5
giết	j e5 t5
giềng	j e2 ŋ2
giễu	j ɛu3
giọng	j ɔ6 ŋ͡m6
giọt	j ɔ6 t6
giỏ	j ɔ4
giỏi	j ɔ4 j4
giống	j o5 ŋ͡m5
giỗ	j o3
giới	j ɤ5 j5
giờ	j ɤ2
giở	j ɤ4
giỡn	j ɤ3 n3
giục	j u6 k͡p6
giữ	j ɯ3
giữa	j ɯə3
